time q.x q.y q.z q.w x y z magnet.x magnet.y magnet.z magnet.x magnet.y magnet.z magnet.x magnet.y magnet.z
184275017 -0.154149 0.108027 0.101218 0.976895 -0.0358674 0.0390386 0.742114 -12.48 -7.8 -18.72 -10.92 23.4 -35.88 -4.68 -7.8 -3.12 
184451425 -0.154216 0.108955 0.1015 0.976752 -0.0359682 0.0392389 0.74361 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
268154465 -0.154216 0.108955 0.1015 0.976752 -0.0359682 0.0392389 0.74361 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
268259752 -0.155203 0.109694 0.100922 0.976573 -0.0358448 0.039213 0.742727 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
297378063 -0.155203 0.109694 0.100922 0.976573 -0.0358448 0.039213 0.742727 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
297491418 -0.155201 0.109713 0.100919 0.976571 -0.0358442 0.0392132 0.742728 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
312034159 -0.155201 0.109713 0.100919 0.976571 -0.0358442 0.0392132 0.742728 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
312129024 -0.154212 0.108962 0.101499 0.976752 -0.035968 0.0392391 0.743612 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
344021538 -0.154212 0.108962 0.101499 0.976752 -0.035968 0.0392391 0.743612 -12.48 -7.8 -18.72 -12.48 24.96 -35.88 -4.68 -7.8 -3.12 
344090079 -0.153321 0.10887 0.101141 0.976939 -0.0358643 0.0390947 0.742385 -12.48 -7.8 -18.72 -12.48 24.96 -35.88 -4.68 -7.8 -3.12 
408005020 -0.153321 0.10887 0.101141 0.976939 -0.0358643 0.0390947 0.742385 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
424692662 -0.153725 0.108853 0.101137 0.976878 -0.0358644 0.0390735 0.742236 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
440046034 -0.153725 0.108853 0.101137 0.976878 -0.0358644 0.0390735 0.742236 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
453802017 -0.153735 0.108906 0.101134 0.976871 -0.0358628 0.039074 0.742232 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
472043686 -0.153735 0.108906 0.101134 0.976871 -0.0358628 0.039074 0.742232 -12.48 -7.8 -18.72 -10.92 24.96 -35.88 -4.68 -7.8 -3.12 
