time q.x q.y q.z q.w x y z magnet.x magnet.y magnet.z magnet.x magnet.y magnet.z magnet.x magnet.y magnet.z
635529642 -0.00290788 0.138646 0.0188245 0.990159 -0.0318794 0.018581 0.716597 -14.04 -10.92 -18.72 -12.48 4.68 -4.68 -10.92 -10.92 0 
635582300 0.0498861 -0.969378 -0.222736 0.0905878 0.0200345 -0.109551 -1.3377 -14.04 -10.92 -18.72 -12.48 4.68 -4.68 -10.92 -10.92 0 
635660066 -0.00262314 0.136559 0.0181218 0.990463 -0.0320247 0.0186043 0.716437 -14.04 -9.36 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
646631909 0.0498861 -0.969378 -0.222736 0.0905878 0.0200403 -0.109633 -1.33867 -14.04 -9.36 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
688746057 -0.00261602 0.13652 0.0181255 0.990468 -0.0320261 0.0186041 0.716438 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
704769272 0.0498861 -0.969378 -0.222736 0.0905878 0.0200582 -0.10975 -1.33881 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
720437022 -0.00219761 0.136468 0.0184405 0.99047 -0.0320407 0.018628 0.716469 -14.04 -10.92 -18.72 -14.04 3.12 -4.68 -9.36 -10.92 0 
734325442 0.0498861 -0.969378 -0.222736 0.0905878 0.0203627 -0.109514 -1.33501 -14.04 -10.92 -18.72 -14.04 3.12 -4.68 -9.36 -10.92 0 
752911149 -0.00523965 0.13278 0.01867 0.990956 -0.0322888 0.0186383 0.715308 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
771462574 0.0498861 -0.969378 -0.222736 0.0905878 0.0204917 -0.109345 -1.33666 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
792866757 -0.00375123 0.132159 0.019164 0.991036 -0.0323486 0.0185134 0.716088 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
792918218 0.0498861 -0.969378 -0.222736 0.0905878 0.0202135 -0.109562 -1.33695 -14.04 -10.92 -18.72 -14.04 4.68 -4.68 -10.92 -10.92 0 
